k,zip_code,county,market_tier,region_bucket,urban_core_flag,actual_price,predicted_price,error_pct,confidence_score,status
3,75001,dallas,high,dfw,0,484987.0,453176.04,6.56,0.8,OK
3,75002,collin,high,dfw,0,460951.0,480011.82,4.14,0.83,OK
3,75006,dallas,mid,dfw,0,343856.0,312091.3,9.24,0.83,OK
3,75007,denton,mid,dfw,0,396446.0,316008.63,20.29,0.83,OK
3,75009,collin,high,dfw,0,538633.0,489622.13,9.1,0.85,OK
3,75010,denton,high,dfw,0,522414.0,447090.29,14.42,0.79,OK
3,75013,collin,high,dfw,0,655695.0,491990.22,24.97,0.83,OK
3,75019,dallas,high,dfw,0,614564.0,465117.2,24.32,0.82,OK
3,75020,grayson,mid,dfw,0,219832.0,274003.47,24.64,0.88,OK
3,75021,grayson,mid,dfw,0,247679.0,273679.51,10.5,0.85,OK
3,75022,denton,high,dfw,0,760453.0,501044.37,34.11,0.66,OK
3,75023,collin,high,dfw,0,418767.0,490589.47,17.15,0.85,OK
3,75024,collin,high,dfw,0,634549.0,492160.88,22.44,0.83,OK
3,75025,collin,high,dfw,0,554415.0,489494.77,11.71,0.85,OK
3,75028,denton,high,dfw,0,528231.0,483581.37,8.45,0.85,OK
3,75032,rockwall,high,dfw,0,526319.0,473038.94,10.12,0.84,OK
3,75033,collin,high,dfw,0,661871.0,470239.76,28.95,0.81,OK
3,75034,collin,high,dfw,0,667986.0,470190.41,29.61,0.81,OK
3,75035,collin,high,dfw,0,648709.0,467769.48,27.89,0.82,OK
3,75036,collin,high,dfw,0,564249.0,489415.41,13.26,0.85,OK
3,75038,dallas,high,dfw,0,461004.0,533064.69,15.63,0.82,OK
3,75039,dallas,high,dfw,0,642090.0,464932.85,27.59,0.82,OK
3,75040,dallas,mid,dfw,0,276768.0,318231.35,14.98,0.86,OK
3,75041,dallas,mid,dfw,0,243094.0,260802.91,7.28,0.88,OK
3,75042,dallas,mid,dfw,0,269986.0,259035.01,4.06,0.73,OK
3,75043,dallas,mid,dfw,0,286898.0,316002.54,10.14,0.81,OK
3,75044,dallas,mid,dfw,0,335875.0,279664.68,16.74,0.83,OK
