GEOID,INTPTLAT,INTPTLON
75000,32.7,-96.8
75001,32.701,-96.801
75002,32.702000000000005,-96.80199999999999
75003,32.703,-96.803
75004,32.704,-96.804
75005,32.705000000000005,-96.80499999999999
75006,32.706,-96.806
75007,32.707,-96.807
75008,32.708000000000006,-96.80799999999999
75009,32.709,-96.809
75010,32.71,-96.81
75011,32.711000000000006,-96.81099999999999
75012,32.712,-96.812
75013,32.713,-96.813
75014,32.714000000000006,-96.814
75015,32.715,-96.815
75016,32.716,-96.816
75017,32.717000000000006,-96.817
75018,32.718,-96.818
75019,32.719,-96.819
75020,32.720000000000006,-96.82
75021,32.721000000000004,-96.821
75022,32.722,-96.822
75023,32.723000000000006,-96.823
75024,32.724000000000004,-96.824
75025,32.725,-96.825
75026,32.726000000000006,-96.826
75027,32.727000000000004,-96.827
75028,32.728,-96.828
75029,32.729000000000006,-96.829
75030,32.730000000000004,-96.83
75031,32.731,-96.831
75032,32.732,-96.832
75033,32.733000000000004,-96.833
75034,32.734,-96.834
75035,32.735,-96.835
75036,32.736000000000004,-96.836
75037,32.737,-96.837
75038,32.738,-96.838
75039,32.739000000000004,-96.839
75040,32.74,-96.84
75041,32.741,-96.841
75042,32.742000000000004,-96.842
75043,32.743,-96.843
75044,32.744,-96.844
75045,32.745000000000005,-96.845
75046,32.746,-96.846
75047,32.747,-96.847
75048,32.748000000000005,-96.848
75049,32.749,-96.849
75050,32.75,-96.85
75051,32.751000000000005,-96.851
75052,32.752,-96.852
75053,32.753,-96.853
75054,32.754000000000005,-96.854
75055,32.755,-96.855
75056,32.756,-96.856
75057,32.757000000000005,-96.857
75058,32.758,-96.858
75059,32.759,-96.859
75060,32.760000000000005,-96.86
75061,32.761,-96.861
75062,32.762,-96.862
75063,32.763000000000005,-96.863
75064,32.764,-96.86399999999999
75065,32.765,-96.865
75066,32.766000000000005,-96.866
75067,32.767,-96.86699999999999
75068,32.768,-96.868
75069,32.769000000000005,-96.869
75070,32.77,-96.86999999999999
75071,32.771,-96.871
75072,32.772000000000006,-96.872
75073,32.773,-96.87299999999999
75074,32.774,-96.874
75075,32.775000000000006,-96.875
75076,32.776,-96.87599999999999
75077,32.777,-96.877
75078,32.778000000000006,-96.878
75079,32.779,-96.87899999999999
75080,32.78,-96.88
75081,32.781000000000006,-96.881
75082,32.782000000000004,-96.88199999999999
75083,32.783,-96.883
75084,32.784000000000006,-96.884
75085,32.785000000000004,-96.88499999999999
75086,32.786,-96.886
75087,32.787000000000006,-96.887
75088,32.788000000000004,-96.88799999999999
75089,32.789,-96.889
75090,32.790000000000006,-96.89
75091,32.791000000000004,-96.89099999999999
75092,32.792,-96.892
75093,32.793000000000006,-96.893
75094,32.794000000000004,-96.89399999999999
75095,32.795,-96.895
75096,32.796,-96.896
75097,32.797000000000004,-96.89699999999999
75098,32.798,-96.898
75099,32.799,-96.899
