zip_code,county,latitude,longitude,avg_property_value,median_income,median_rent,population_change_pct,owner_share_pct,zhvi_1y_change_pct,zhvi_5y_change_pct,price_to_rent_ratio,listing_count,average_sqft,market_tier,region_bucket,urban_core_flag
75001,dallas,32.960047,-96.83724,484987,82577,1589,1.1,16.5,-1.97,30.74,25.43,0,0,high,DFW,0
75002,collin,33.089854,-96.6086,460951,129306,1918,0.8,78.1,-6.14,34.0,20.03,0,0,high,DFW,0
75006,dallas,32.962141,-96.898585,343856,79466,1416,-0.9,52.0,-4.33,24.53,20.24,0,0,mid,DFW,0
75007,denton,33.005262,-96.896742,396446,109692,1745,1.0,67.5,-5.13,27.41,18.93,0,0,mid,DFW,0
75009,collin,33.338899,-96.752977,538633,166064,1810,7.6,93.0,-8.21,37.78,24.8,0,0,high,DFW,0
75010,denton,33.039081,-96.872596,522414,105386,1633,0.2,49.7,-4.32,31.9,26.66,0,0,high,DFW,0
75013,collin,33.114327,-96.693964,655695,151618,1611,4.1,64.4,-4.77,40.37,33.92,0,0,high,DFW,0
75019,dallas,32.961253,-96.985817,614564,134174,1862,0.0,63.6,-2.58,39.86,27.5,0,0,high,DFW,0
75020,grayson,33.772722,-96.606962,219832,66308,1477,-1.2,59.0,-6.19,21.39,12.4,0,0,mid,DFW,0
75021,grayson,33.727988,-96.478369,247679,67159,1326,4.3,83.6,-4.17,27.44,15.57,0,0,mid,DFW,0
75022,denton,33.024484,-97.119504,760453,178969,2564,-1.1,84.8,-1.42,42.9,24.72,0,0,high,DFW,0
75023,collin,33.056789,-96.730859,418767,106488,1854,-1.0,63.0,-5.48,28.21,18.82,0,0,high,DFW,0
75024,collin,33.077854,-96.811028,634549,117445,1686,3.5,38.1,-4.19,38.13,31.36,0,0,high,DFW,0
75025,collin,33.090085,-96.740008,554415,135398,2079,-1.6,67.0,-5.51,36.06,22.22,0,0,high,DFW,0
75028,denton,33.032998,-97.064618,528231,147040,2241,1.9,80.2,-3.37,33.68,19.64,0,0,high,DFW,0
75032,rockwall,32.857112,-96.43121,526319,128465,1835,3.8,80.8,-1.81,32.54,23.9,0,0,high,DFW,0
75033,collin,33.184818,-96.844308,661871,171640,1678,6.1,71.9,-4.53,41.68,32.87,0,0,high,DFW,0
75034,collin,33.121286,-96.838536,667986,107945,1665,4.7,40.2,-3.86,39.75,33.43,0,0,high,DFW,0
75035,collin,33.163588,-96.776622,648709,161030,2304,2.6,75.9,-5.99,43.01,23.46,0,0,high,DFW,0
75036,collin,33.133351,-96.914663,564249,141761,2364,2.9,86.9,-4.18,34.38,19.89,0,0,high,DFW,0
75038,dallas,32.87226,-96.97881,461004,69013,1384,1.7,20.1,-0.02,35.63,27.76,0,0,high,DFW,0
